actor,script,start_time,end_time,duration
승혁,너무 불경한 말을 했으면은,00:21:32,00:21:32,00:21:32
승혁,"저기, 혼내 주십시오, 근데",00:21:34,00:21:34,00:21:34
승혁,근데 제 진심은 정말 변함이 없습니다,00:21:36,00:21:36,00:21:36
승혁,회장님,00:21:41,00:21:41,00:21:41
설명,[흐느낀다],00:21:42,00:21:42,00:21:42
승혁,"어, 나 왜 이렇게 주책없이, 정말",00:21:45,00:21:45,00:21:45
설명,[승혁이 흐느낀다],00:21:47,00:21:47,00:21:47
한서,"아니, 괜히 분위기 이상하게 만들고 그래",00:21:52,00:21:52,00:21:52
한서,"일단 한잔, 한잔 받아요",00:21:58,00:21:58,00:21:58
승혁,네,00:21:59,00:21:59,00:21:59
한서,"아유, 진짜",00:21:59,00:21:59,00:21:59
설명,[한서의 웃음],00:22:02,00:22:02,00:22:02
한서,제 마음속의 회장님,00:22:03,00:22:03,00:22:03
한서,"아이, 뭘 또 마음은 마음이야",00:22:06,00:22:06,00:22:06
설명,[승혁이 흐느낀다],00:22:08,00:22:08,00:22:08
한서,"아, 계속 우네? 아",00:22:11,00:22:11,00:22:11
한서,"울지 말고 뚝, 뚝",00:22:13,00:22:13,00:22:13
